,box,distance,goal
10608,0,20.678396939801694,False
10792,0,24.188263683034382,False
10958,0,27.521111896142568,False
10959,1,21.193546187459994,False
10963,1,10.581119978527795,False
10995,1,16.196604582442582,False
11071,0,25.783746818490133,False
11305,1,14.864349968969382,False
11341,1,14.544693190301404,False
11347,1,3.4310494021508933,False
11356,0,21.160340261914506,False
11488,0,23.346091750012462,False
11504,1,10.982171916337862,False
11550,0,27.186025822102064,False
11553,1,3.4310494021508933,True
11668,1,7.422560205212215,True
11700,1,15.56511805287708,False
11853,1,7.158910531638178,False
11959,1,13.717583606451978,False
12029,1,11.528555850582501,False
12103,0,27.711867493909537,False
12178,0,29.407862894130886,False
12215,1,11.264830225085507,False
12279,1,10.007677053142753,False
12334,1,18.403611058702584,True
12355,1,14.578151460318967,False
12433,1,19.75451593939978,False
12445,0,33.349100437642996,False
12574,1,14.374157366607617,False
12604,0,35.78435412299627,False
12622,0,19.203385118254545,False
12707,0,19.626719032991737,False
13001,1,15.56511805287708,False
13103,0,38.73474022115032,False
13149,1,17.181676286090365,False
13161,1,15.867479320925552,False
13184,0,18.91222884802318,True
13204,1,16.112805466460518,False
13276,1,15.250000000000002,False
13310,1,10.29314820645268,False
13329,0,38.326712616659414,False
13515,1,17.842715600490866,False
13548,0,20.326347433811126,False
13828,1,12.940173878275361,False
13834,0,34.231741118441526,False
13876,1,17.330000000000002,False
13926,0,26.678082764696565,False
14020,1,12.673184288094292,False
14024,1,15.120330684214549,False
14195,1,13.413906962551964,False
14200,1,11.642272115012602,False
14243,1,14.173228284339459,False
14335,1,16.56738965558546,False
14340,1,14.317821063276355,False
14469,0,22.72392791750581,False
14601,1,16.00715152673954,False
14689,1,15.250000000000002,False
14732,1,9.138539270583674,True
14777,1,8.783188487104214,False
14833,1,15.120330684214549,False
14881,0,29.407862894130886,False
14952,0,30.90962471464188,False
15080,0,30.129097231745927,False
15084,1,20.809192680159413,False
15086,0,28.382602065349825,False
15130,0,29.15411634743883,False
15270,0,34.28119017770533,False
15545,1,16.12661154737721,False
15641,0,24.294906873663873,False
15708,0,31.52934506138686,False
15720,1,16.341239243092918,False
15721,1,11.865955503034723,False
16079,1,16.26987707390563,False
16247,0,29.14326680384339,False
16309,1,5.403702434442518,False
16312,1,5.29385492812185,True
16325,0,27.3,False
16428,1,12.04003737535727,False
16430,1,9.138539270583674,False
16445,1,8.756717421499909,True
16463,1,14.544693190301404,False
16614,1,12.764074584551754,True
16856,0,26.953977443041683,False
16862,1,10.521996008362672,False
16875,0,30.02303115942826,False
16890,1,15.76467253069343,False
16939,1,15.61677303414505,False
17000,1,5.855458991402809,False
17132,1,18.70089837414235,False
17138,1,6.872670514436146,False
17253,0,32.98729452380113,False
17294,1,17.181676286090365,False
17299,0,28.63564212655271,False
17452,1,13.413906962551964,False
17488,0,26.645902123966458,False
17521,0,21.16223995705559,False
17557,0,23.651097226133082,False
17698,0,21.09885304939584,False
17850,1,14.967728618598082,False
17986,1,13.213629327327146,False
17995,0,24.280864893985964,False
17998,0,26.59590945991507,False
18011,0,18.520866610393803,False
18017,1,10.043032410581976,False
18104,1,18.046783646954935,False
18148,1,14.638647478507023,False
18221,0,22.310591655086156,False
18338,1,12.940173878275361,True
18498,1,8.756717421499909,False
18508,0,22.831592147723736,False
18518,1,14.694083843506544,True
18538,0,31.462669943919256,False
18607,1,15.808608414405109,False
18660,1,16.26987707390563,False
18687,0,23.731911006069446,False
18795,0,21.820818041494228,False
18873,1,15.867479320925552,False
18981,0,22.55792765304473,False
18988,0,21.160340261914506,False
19002,1,10.29314820645268,False
19117,1,12.04003737535727,False
19148,0,24.53201173976566,False
19241,1,12.572290960680158,False
19372,0,28.35,False
19381,1,15.01151557971413,False
19393,0,25.282436591436362,False
19435,1,14.544693190301404,False
19457,1,11.528555850582501,False
19459,1,9.269843580125828,False
19461,1,4.161838536031882,True
19512,1,11.728772314270577,False
19619,1,14.694083843506544,False
19626,1,7.505757789857065,False
19657,0,21.820818041494228,False
19877,0,29.533413280553944,False
19891,0,23.971516430964478,False
19926,1,9.564355702293804,False
20139,1,10.696335821205315,False
20143,0,31.507338827644585,False
20208,1,6.872670514436146,False
20426,1,14.864349968969382,False
20462,1,12.153369903035125,False
20491,0,25.23667172984584,False
20509,0,29.750000000000004,False
20545,1,15.75,False
20583,1,10.521996008362672,False
20608,1,10.5,True
20629,1,17.887316735609062,False
20655,0,27.922981574323327,False
20657,1,12.485515608095646,False
20739,1,17.4555693118271,False
20757,1,15.92307759197323,False
20799,0,23.651097226133082,False
20894,1,5.855458991402809,False
20968,0,22.14416627466476,False
20991,1,12.696078134605191,False
21002,1,8.783188487104214,True
21063,0,30.979026776191663,False
21130,0,21.532710001298025,False
21326,1,11.415796073861868,False
21393,0,28.693067106881415,False
21460,1,16.493647261900566,False
21469,1,13.918365564964876,False
21594,1,14.317821063276355,False
21615,1,8.829405415994895,False
21674,1,9.83366157644242,False
21694,1,18.79491686600396,False
21704,1,16.341239243092918,False
21733,1,12.891873409245067,False
21766,0,27.435167212903956,False
21798,1,8.644165662456961,False
21843,0,29.905733563984015,False
21881,0,26.953977443041683,False
21897,0,30.336618137162226,False
21974,1,11.57,True
22002,1,13.213629327327146,True
22347,1,13.213629327327146,False
22358,0,32.89953799067702,False
22474,0,33.28380386914934,False
22508,0,38.819912416181474,False
22844,0,30.432918032945842,False
22939,0,25.349794870964935,False
22958,1,10.521996008362672,True
23010,0,30.21364095901055,True
23246,1,14.007655050007479,True
23268,1,10.29314820645268,False
