,box,distance,goal
68,0,21.873600526662273,False
90,1,12.696302611390452,False
213,0,30.70025407060991,False
426,1,12.485515608095646,False
435,1,21.964343832675723,False
451,0,28.134142958334454,False
466,1,15.250000000000002,False
513,1,15.463508657481329,False
520,0,34.38739449274981,False
616,1,14.931044839528143,False
701,0,27.294924436605427,False
751,0,35.07443655997912,False
858,1,12.61833586492292,False
1112,1,11.988744721612852,False
1225,1,12.19449055926487,False
1232,0,32.33538155024617,False
1260,0,22.72392791750581,False
1404,0,26.390545655594163,False
1479,1,4.161838536031882,False
1556,1,13.050670480860363,False
1602,1,16.341239243092918,False
1604,1,13.724197608603573,False
1641,1,9.338436700004985,False
1685,1,12.696078134605191,False
1765,1,20.758904113656868,False
1824,0,24.91338796711519,False
1923,0,26.953977443041683,False
1958,1,8.74689087619138,False
2082,0,24.08007475071454,False
2109,1,15.40916934815112,True
2179,1,16.66805627540296,False
2218,0,24.30269326638511,True
2378,0,27.724963480589118,False
2400,0,33.77591005435679,False
2519,1,14.544693190301404,False
2637,0,26.938270174604757,False
2661,0,23.074715599547485,False
2853,1,15.60795950789212,False
2988,0,22.72392791750581,False
3125,0,27.71610542626796,False
3145,0,28.306190135728265,False
3316,1,10.855210730335916,False
3358,0,37.902722857335725,False
3378,1,9.83366157644242,False
3399,1,3.7528788949285325,True
3425,1,13.698762717851565,False
3465,1,11.258636684785598,False
3488,1,12.05209110486641,True
3628,0,29.882786014694144,False
3653,0,18.170924577467158,False
3720,0,28.86721496784891,False
3751,1,13.904765370188741,False
3942,1,10.405306338594746,False
3991,1,11.030865786510143,False
4251,1,13.717583606451978,False
4263,1,15.410593758840054,False
4282,1,14.715719486318024,False
4317,1,8.42747886381212,False
4421,1,13.07122412018094,False
4428,0,28.63564212655271,False
4530,1,11.03675676999362,False
4549,1,10.581119978527795,False
4558,1,12.764074584551754,False
4680,1,16.813756272766653,False
4981,1,21.964343832675723,False
4999,0,20.904470813680028,False
5082,0,26.807761935678258,False
5116,1,16.56087256155303,False
5161,1,16.64190193457467,False
5232,1,15.903084606452927,False
5342,0,21.643477077401403,False
5357,1,17.040026408430244,True
5402,0,18.443017648964066,False
5408,1,13.07122412018094,False
5420,1,15.792099290468006,False
5435,1,17.181676286090365,False
5452,1,15.391738043508928,False
5461,0,20.86517673061985,False
5611,1,14.317821063276355,False
5669,0,65.43380166244354,False
5730,1,5.9127743065332705,False
5777,0,20.86517673061985,False
5806,0,25.23667172984584,False
5829,1,10.855210730335916,False
5831,1,13.725727667413484,True
5957,0,33.3983966681037,False
6056,0,31.119125951735857,False
6061,1,15.45905883293029,False
6084,1,17.099520461112355,False
6164,1,14.638647478507023,False
6168,1,7.896049645234003,False
6235,1,11.642272115012602,False
6478,1,14.715719486318024,False
6517,0,30.809225890956757,False
6531,0,21.71042146067183,False
6575,1,11.57,True
