,box,distance,goal
46,1,14.007655050007479,True
62,1,15.808608414405109,False
91,1,4.4147027079974475,True
128,0,23.057235306948662,False
249,0,29.563871532666354,False
394,1,12.891873409245067,False
401,0,33.9136093626143,False
493,1,15.674297432421016,False
514,1,16.12661154737721,False
519,0,29.905733563984015,False
554,1,6.8620988043017865,True
640,1,10.007677053142753,False
727,0,30.176149522429135,False
895,1,13.717583606451978,False
898,1,8.4,True
979,0,31.90349353910948,False
1008,1,8.4,False
1099,0,26.953977443041683,False
1107,1,8.829405415994895,True
1147,0,24.38816311246093,False
1217,1,15.463508657481329,False
1309,1,11.264830225085507,False
1334,0,29.68175196985515,False
1348,1,13.80159773359592,False
1420,1,20.973592920622828,False
1425,0,37.32109859047561,False
1432,1,14.289632605494097,False
1512,0,30.366048475229704,False
1552,0,33.70991545524848,False
1558,1,14.84512041042443,False
1570,1,10.855210730335916,True
1605,1,15.120330684214549,False
1613,1,10.29314820645268,True
1765,0,28.86721496784891,False
1850,1,14.544693190301404,False
1965,0,25.395243649156036,False
2050,1,13.07122412018094,False
2302,1,9.338436700004985,False
2306,1,9.144183943906642,False
2485,1,15.01151557971413,False
2494,0,24.91338796711519,False
2525,0,26.27015226449973,False
2646,0,22.529660450171015,False
2686,1,18.288367887813283,False
2737,0,28.306190135728265,False
2739,1,13.244108123992346,False
2744,1,14.067071479167227,False
2746,1,13.717583606451978,False
2748,0,31.34859486484203,False
2790,0,30.932120845490054,False
2938,0,25.831058824601055,False
2982,1,12.04003737535727,True
3415,1,18.35490125279894,False
3566,0,31.648774067884524,False
3770,1,13.717583606451978,True
3973,0,24.144616377155387,False
4100,0,20.04706711716205,True
4119,0,27.37611367597673,False
4140,1,7.837148716210508,True
4161,0,28.41543418637132,False
4167,0,23.284177030764905,False
4198,0,21.1183545760554,False
4268,0,32.570478964854054,False
4300,0,29.50761935500728,False
4382,1,17.46131724698913,False
4424,1,7.627850286941925,False
4460,0,31.178992927931464,False
4483,1,14.544693190301404,False
4501,1,10.521996008362672,False
4534,1,7.494164396382028,False
4586,1,5.29385492812185,True
4668,1,9.654926203757334,False
4726,0,24.159571602162156,False
4792,0,20.237650555338682,False
4837,1,11.825548613066541,True
4847,1,15.088074761214568,False
4970,1,13.469135087302378,False
5263,0,20.86760407905038,False
5319,0,28.63564212655271,False
5387,1,7.474764210327976,True
5397,1,17.892177061498135,False
5458,1,8.406479643703422,False
5519,1,14.931044839528143,False
5621,1,19.268692223397,False
5662,1,9.667683279876313,False
5710,0,22.154990408483595,False
5752,0,36.77990755833952,False
5754,1,8.578484714680094,False
5853,1,7.3500000000000005,False
5891,1,11.326822149217318,False
6095,1,22.49536841218654,False
6202,1,9.474434020035183,False
6206,1,17.155247010754465,True
6268,1,15.451459477991069,False
6288,1,5.9127743065332705,False
6676,0,18.170924577467158,False
6709,0,27.186025822102064,False
6712,0,21.26631373792835,False
6830,0,26.645902123966458,False
6892,0,18.87,False
7052,0,23.73251145580678,False
7068,0,21.71042146067183,False
7248,1,6.336592144047146,True
7270,1,20.026232796010337,False
7413,1,14.544693190301404,False
7502,0,28.162075562713767,False
7568,1,10.5877098562437,False
7698,1,15.410593758840054,False
7752,0,21.476731594914533,False
7789,1,15.56511805287708,False
7952,1,15.56511805287708,False
7964,1,17.099520461112355,False
8084,0,26.21569186575094,False
8331,1,17.842715600490866,False
8393,0,27.308467551292587,False
8409,0,24.186047630813928,False
8593,0,31.70722472875859,False
8602,1,18.27326188724936,False
8686,0,26.25,False
8729,1,12.19449055926487,True
8776,0,25.556386677306325,False
8796,0,26.80615600939456,False
8848,0,25.831058824601055,False
8960,1,14.762777516443172,False
9034,1,15.61677303414505,False
9067,1,8.509383056367835,True
9164,1,14.959174442461723,False
9201,1,17.4555693118271,False
9207,1,18.70089837414235,False
9222,1,17.887316735609062,False
9236,0,18.948868040070366,False
9291,1,21.259842426509188,False
9292,1,22.19621814634196,False
9377,1,16.341239243092918,False
9449,0,26.678082764696565,False
9502,1,15.61677303414505,False
9631,1,17.842715600490866,False
9680,1,13.724197608603573,True
9697,1,14.27725814013321,False
9711,0,31.52440483181245,True
9747,0,25.717077983316848,False
9868,1,17.887316735609062,False
9936,0,18.91222884802318,False
10073,0,27.435167212903956,False
10170,1,5.29385492812185,False
10261,1,19.537044300507688,False
10379,1,13.469135087302378,False
10491,0,29.147296615638304,False
