,box,distance,goal
104,0,20.904470813680028,False
178,1,8.063305773688604,True
216,1,14.410999271389894,False
220,1,12.61833586492292,False
313,0,27.836731129929753,False
349,1,2.9277294957014046,True
379,1,12.572366523451343,False
444,1,18.27326188724936,False
456,0,24.08007475071454,False
518,1,11.496438578968707,False
679,0,21.532710001298025,False
771,0,24.733693618220467,False
803,0,25.20917293367635,False
822,0,24.144616377155387,False
857,1,8.22727780009889,False
898,1,14.884837923202255,False
920,1,14.84512041042443,False
1044,0,24.144616377155387,False
1059,1,7.158910531638178,False
1061,1,8.4,False
1098,1,11.528555850582501,False
1136,1,17.1236941107928,True
1232,1,6.336592144047146,False
1326,1,18.046783646954935,False
1379,0,26.70553500681086,False
1449,0,27.71610542626796,False
1478,1,15.391738043508928,False
1523,0,21.306170467730706,False
1525,1,13.13,False
1573,0,26.14244824036188,False
1586,1,13.297954729957535,False
1670,1,9.17745062639947,False
1692,1,7.896049645234003,False
1756,0,26.32914924565547,False
1873,1,10.807404868885037,False
1886,1,12.509596316428441,False
2006,0,27.698521621198488,False
2109,1,9.547360891890492,False
2134,0,22.883550860825775,False
2137,1,8.756717421499909,False
2256,1,15.867479320925552,False
2261,0,30.500000000000004,False
2365,0,27.60319546719184,False
2449,0,33.70991545524848,False
2611,0,21.807897651997546,False
2655,0,36.12011212607181,False
2705,1,20.251520930537538,False
2733,0,26.25880614194027,False
2962,0,29.15411634743883,False
3110,0,25.25173261382276,False
3154,1,12.153369903035125,False
3159,0,24.614631827431424,True
3305,0,23.971516430964478,False
3319,0,29.15411634743883,False
3533,0,22.85915352763527,False
3567,0,27.922981574323327,False
3600,1,12.891873409245067,False
3683,0,26.28669625494996,False
3804,0,21.1754197124874,False
4067,0,30.02303115942826,False
4117,0,24.30673980607025,False
4214,1,19.99362148286298,True
4327,1,15.780354875604035,False
4358,1,15.98314424636154,False
4400,1,14.967728618598082,False
4402,0,21.273457640919588,False
4515,1,12.485515608095646,True
4712,1,16.341239243092918,False
4795,1,6.872670514436146,False
5129,0,32.83201029483269,False
5151,0,22.406304916250694,False
5157,0,22.07351353998724,False
5245,1,17.724796190647723,False
5263,1,6.286183261725672,False
5319,1,20.618011543308437,False
5523,1,12.153369903035125,False
5570,0,102.09583781917851,False
5608,1,10.846584715937086,False
5759,0,31.1785326787519,False
5782,0,30.500000000000004,False
5864,1,9.787011801362048,False
5906,1,17.898740179129927,False
6191,1,10.309005771654219,False
6197,1,7.422560205212215,False
6305,1,7.494164396382028,False
6314,1,13.244108123992346,False
6355,0,27.37611367597673,False
6385,0,24.294906873663873,False
6442,1,19.04411720190779,False
6692,1,18.899843914699403,False
6737,1,13.469135087302378,False
6847,0,32.55710214377195,False
6877,1,10.846584715937086,False
6895,1,11.825548613066541,False
6931,1,11.57,False
6963,1,13.745341028872293,False
7093,0,33.28380386914934,False
7192,0,20.19033432115477,False
7320,0,31.84615518394646,False
7325,0,30.48035596904997,False
7395,0,21.743311615299085,False
7455,1,11.03675676999362,False
7527,1,10.007677053142753,True
7539,1,14.694083843506544,False
7626,1,13.904765370188741,False
7671,1,13.050670480860363,False
7722,0,33.66187160572032,False
7771,1,12.890244373168418,False
7836,1,7.896049645234003,False
7882,1,7.837148716210508,False
7941,0,24.30673980607025,False
7947,1,12.492401690627787,False
7950,1,19.04411720190779,False
7996,1,13.297954729957535,False
8025,0,30.90962471464188,False
8163,1,14.694083843506544,False
8198,1,17.43596570310919,False
8216,0,26.2852068662204,False
8225,1,8.509383056367835,False
8301,1,13.297954729957535,False
8650,1,11.24768420609327,False
8687,0,22.060482768969496,False
8702,1,15.391738043508928,False
8729,0,27.451455334826967,False
8817,0,33.77158568974812,False
8905,0,33.12033967217124,False
9037,1,12.027173400263257,False
9094,0,33.349100437642996,False
9138,0,19.1013742961076,False
9229,1,18.27326188724936,False
9349,0,31.34859486484203,False
9543,0,28.772071527785414,False
9580,0,30.33664615609313,False
9633,1,17.181676286090365,True
9701,1,14.931044839528143,False
9742,0,24.984803381255574,False
9751,1,15.451459477991069,False
9753,1,7.896049645234003,False
9869,0,36.985316005139126,False
10038,1,14.864349968969382,False
10193,1,17.099520461112355,False
10216,1,10.02760689297302,True
10242,1,10.007677053142753,False
10306,0,19.996302158149142,False
10372,1,13.766175939599204,False
10430,1,15.56511805287708,False
10496,1,20.809192680159413,False
10569,1,11.03675676999362,False
10754,1,21.614809737770074,False
10924,0,40.030708212571014,False
10983,0,25.20917293367635,False
11004,0,27.186025822102064,False
11061,1,8.829405415994895,False
11112,1,10.29314820645268,False
11168,0,25.200000000000003,False
11230,0,31.90349353910948,False
11354,0,22.529660450171015,False
11360,1,14.967728618598082,False
11429,0,25.533985196204686,False
11455,0,23.074715599547485,False
11515,1,14.762777516443172,False
11596,1,9.83366157644242,False
11605,1,15.250000000000002,False
11729,1,9.779590993492521,False
11813,0,20.134569774395477,False
11826,0,31.59103670347018,False
11929,0,26.48767449211048,False
12034,1,9.547360891890492,False
12065,1,18.83771748381422,False
12072,1,10.013116398005169,False
12535,1,16.85495772762424,False
12554,1,21.259842426509188,False
12698,0,18.170924577467158,False
12829,1,8.406479643703422,False
12849,1,16.648615558057674,False
12863,1,13.07122412018094,False
12937,1,11.62979363531443,True
13017,0,29.59594566828369,False
13056,0,24.188263683034382,False
13249,1,14.762777516443172,False
13263,1,12.249444885381541,False
13421,1,11.55,False
13469,0,30.639231387226413,False
13540,1,16.493647261900566,False
13544,1,16.812959287406844,False
13624,1,11.03675676999362,False
13645,0,25.20917293367635,False
13714,1,17.513434842999818,True
13750,1,6.445122186584209,False
13776,0,23.057111701165002,False
13784,0,20.04706711716205,True
13871,1,20.494106469909834,False
14026,0,29.563871532666354,False
14232,0,25.346368576188585,False
14248,0,19.95,False
14358,1,15.40916934815112,False
14389,0,26.678082764696565,False
14399,1,8.323677072063765,True
14410,0,29.320179058116274,False
14537,1,11.264830225085507,False
14746,0,20.86760407905038,False
15219,0,18.170924577467158,False
15225,1,10.581119978527795,True
15394,1,13.745341028872293,False
15456,1,22.048999977323234,False
15481,1,9.338436700004985,False
15725,0,30.809225890956757,False
15871,1,19.268692223397,False
15920,0,19.203385118254545,False
16041,0,21.69316943187417,True
16159,1,11.496438578968707,False
16179,0,21.476731594914533,False
16191,0,37.16353589205419,False
16223,1,8.42747886381212,False
16312,1,19.559181986985042,False
16366,1,13.07122412018094,False
16420,1,10.5877098562437,False
16422,0,23.346091750012462,False
16451,0,19.1013742961076,False
16493,1,11.030865786510143,False
16606,1,14.949528420655952,False
16612,1,14.715719486318024,False
16649,1,13.960032234919804,False
16690,1,12.153369903035125,False
16722,1,18.899843914699403,False
16779,1,15.250000000000002,False
16816,1,18.33412392234764,False
16940,1,17.155247010754465,False
16979,1,13.244108123992346,True
17101,1,13.725727667413484,False
17122,1,6.286183261725672,False
